"","V1","V2"
"3578","MESH:D000022","MESH:D014517"
"3579","MESH:D000022","MESH:D014594"
"3580","MESH:D000022","MESH:D014652"
"3581","MESH:D000022","MESH:D014947"
"3582","MESH:D000022","MESH:D015179"
"3583","MESH:D000022","MESH:D015427"
"3584","MESH:D000022","MESH:D015428"
"3585","MESH:D000022","MESH:D015430"
"3586","MESH:D000022","MESH:D015451"
"3587","MESH:D000022","MESH:D015459"
"3588","MESH:D000022","MESH:D015470"
"3589","MESH:D000022","MESH:D015473"
"3590","MESH:D000022","MESH:D015658"
"3591","MESH:D000022","MESH:D015674"
"3592","MESH:D000022","MESH:D016399"
"3593","MESH:D000022","MESH:D016403"
"3594","MESH:D000022","MESH:D016410"
"3595","MESH:D000022","MESH:D016889"
"3597","MESH:D000022","MESH:D017114"
"3598","MESH:D000022","MESH:D017202"
"3600","MESH:D000022","MESH:D017449"
"3601","MESH:D000022","MESH:D017880"
"3603","MESH:D000022","MESH:D018268"
"3604","MESH:D000022","MESH:D018281"
"3606","MESH:D000022","MESH:D018450"
"3607","MESH:D000022","MESH:D018487"
"3608","MESH:D000022","MESH:D018805"
"3609","MESH:D000022","MESH:D019465"
"3610","MESH:D000022","MESH:D019636"
"3611","MESH:D000022","MESH:D019693"
"3613","MESH:D000022","MESH:D019970"
"3615","MESH:D000022","MESH:D020244"
"3616","MESH:D000022","MESH:D020246"
"3617","MESH:D000022","MESH:D020258"
"3619","MESH:D000022","MESH:D020521"
"3620","MESH:D000022","MESH:D021441"
"3621","MESH:D000022","MESH:D029424"
"3624","MESH:D000022","MESH:D046152"
"3625","MESH:D000022","MESH:D048629"
"3626","MESH:D000022","MESH:D050197"
"3627","MESH:D000022","MESH:D054058"
"3628","MESH:D000022","MESH:D054198"
"3629","MESH:D000022","MESH:D054220"
"3632","MESH:D000022","MESH:D055370"
"3633","MESH:D000022","MESH:D055371"
"3634","MESH:D000022","MESH:D055752"
"3635","MESH:D000022","MESH:D056486"
"3637","MESH:D000022","MESH:D058186"
"3639","MESH:D000022","MESH:D064420"
"3640","MESH:D000022","MESH:D065626"
"3642","MESH:D000022","MESH:D066126"
"4197","MESH:D000077192","MESH:C572845"
"4199","MESH:D000077192","MESH:D000015"
"4200","MESH:D000077192","MESH:D000022"
"4204","MESH:D000077192","MESH:D000077192"
"4205","MESH:D000077192","MESH:D000077195"
"4206","MESH:D000077192","MESH:D000077216"
"4208","MESH:D000077192","MESH:D000077274"
"4209","MESH:D000077192","MESH:D000077277"
"4210","MESH:D000077192","MESH:D000169"
"4211","MESH:D000077192","MESH:D000230"
"4212","MESH:D000077192","MESH:D000236"
"4213","MESH:D000077192","MESH:D000310"
"4214","MESH:D000077192","MESH:D000419"
"4215","MESH:D000077192","MESH:D000505"
"4216","MESH:D000077192","MESH:D000544"
"4217","MESH:D000077192","MESH:D000647"
"4218","MESH:D000077192","MESH:D000690"
"4219","MESH:D000077192","MESH:D000740"
"4220","MESH:D000077192","MESH:D000860"
"4221","MESH:D000077192","MESH:D001008"
"4222","MESH:D000077192","MESH:D001161"
"4223","MESH:D000077192","MESH:D001169"
"4224","MESH:D000077192","MESH:D001171"
"4225","MESH:D000077192","MESH:D001172"
"4226","MESH:D000077192","MESH:D001249"
"4227","MESH:D000077192","MESH:D001254"
"4228","MESH:D000077192","MESH:D001281"
"4229","MESH:D000077192","MESH:D001284"
"4230","MESH:D000077192","MESH:D001321"
"4231","MESH:D000077192","MESH:D001327"
"4232","MESH:D000077192","MESH:D001471"
"4235","MESH:D000077192","MESH:D001714"
"4236","MESH:D000077192","MESH:D001749"
"4237","MESH:D000077192","MESH:D001848"
"4238","MESH:D000077192","MESH:D001927"
"4239","MESH:D000077192","MESH:D001930"
"4240","MESH:D000077192","MESH:D001932"
"4241","MESH:D000077192","MESH:D001943"
"4242","MESH:D000077192","MESH:D002051"
"4243","MESH:D000077192","MESH:D002114"
"4245","MESH:D000077192","MESH:D002277"
"4246","MESH:D000077192","MESH:D002280"
"4247","MESH:D000077192","MESH:D002289"
"4248","MESH:D000077192","MESH:D002292"
"4249","MESH:D000077192","MESH:D002294"
"4250","MESH:D000077192","MESH:D002295"
"4251","MESH:D000077192","MESH:D002311"
"4252","MESH:D000077192","MESH:D002312"
"4253","MESH:D000077192","MESH:D002318"
"4255","MESH:D000077192","MESH:D002375"
"4258","MESH:D000077192","MESH:D002471"
"4260","MESH:D000077192","MESH:D002543"
"4261","MESH:D000077192","MESH:D002545"
"4262","MESH:D000077192","MESH:D002583"
"4263","MESH:D000077192","MESH:D002658"
"4264","MESH:D000077192","MESH:D002779"
"4265","MESH:D000077192","MESH:D002971"
"4266","MESH:D000077192","MESH:D002972"
"4267","MESH:D000077192","MESH:D003072"
"4268","MESH:D000077192","MESH:D003092"
"4269","MESH:D000077192","MESH:D003093"
"4270","MESH:D000077192","MESH:D003110"
"4271","MESH:D000077192","MESH:D003324"
"4272","MESH:D000077192","MESH:D003327"
"4273","MESH:D000077192","MESH:D003424"
"4276","MESH:D000077192","MESH:D003866"
"4277","MESH:D000077192","MESH:D003872"
"4278","MESH:D000077192","MESH:D003875"
"4279","MESH:D000077192","MESH:D003876"
"4280","MESH:D000077192","MESH:D003877"
"4281","MESH:D000077192","MESH:D003920"
"4282","MESH:D000077192","MESH:D003921"
"4283","MESH:D000077192","MESH:D003922"
"4284","MESH:D000077192","MESH:D003924"
"4285","MESH:D000077192","MESH:D003925"
"4286","MESH:D000077192","MESH:D003928"
"4289","MESH:D000077192","MESH:D004195"
"4290","MESH:D000077192","MESH:D004487"
"4291","MESH:D000077192","MESH:D004646"
"4292","MESH:D000077192","MESH:D004715"
"4293","MESH:D000077192","MESH:D004827"
"4294","MESH:D000077192","MESH:D004830"
"4295","MESH:D000077192","MESH:D004938"
"4296","MESH:D000077192","MESH:D005234"
"4297","MESH:D000077192","MESH:D005334"
"4298","MESH:D000077192","MESH:D005355"
"4299","MESH:D000077192","MESH:D005706"
"4300","MESH:D000077192","MESH:D005909"
"4301","MESH:D000077192","MESH:D005910"
"4302","MESH:D000077192","MESH:D005911"
"4303","MESH:D000077192","MESH:D005921"
"4305","MESH:D000077192","MESH:D005923"
"4306","MESH:D000077192","MESH:D006130"
"4307","MESH:D000077192","MESH:D006258"
"4308","MESH:D000077192","MESH:D006319"
"4309","MESH:D000077192","MESH:D006330"
"4310","MESH:D000077192","MESH:D006331"
"4311","MESH:D000077192","MESH:D006332"
"4312","MESH:D000077192","MESH:D006333"
