"","gene_ID_1","gene_ID_2"
"3409",4790,5567
"3412",5578,84790
"3413",2560,5580
"3414",25,6788
"3416",1457,5601
"3418",4638,5597
"3420",4638,5603
"3421",2932,5604
"3422",5602,596
"3424",50940,5566
"3426",5567,8654
"3427",3643,4792
"3428",2890,5579
"3429",1021,2099
"3430",1019,2903
"3433",207,5979
"3435",208,5879
"3436",2908,5597
"3437",5243,5584
"3439",1432,367
"3442",10769,6622
"3444",5579,7299
"3445",1459,4792
"3447",1432,5465
"3449",1080,5593
"3450",4638,5566
"3454",1452,5566
"3456",2560,5588
"3457",2932,6197
"3458",5596,7157
"3460",5597,6256
"3461",2932,6790
"3465",1459,7124
"3466",11200,5591
"3467",1827,5603
"3468",15,5567
"3470",5465,5601
"3471",1432,8396
"3472",5347,6622
"3474",2566,5580
"3476",2324,6714
"3481",572,983
"3483",5582,5894
"3485",3269,5566
"3486",5579,5734
"3487",4215,5567
"3489",2560,5590
"3490",301,5567
"3492",5243,5579
"3493",1459,3486
"3494",4638,5598
"3497",196,5578
"3498",2561,5580
"3499",5604,5608
"3500",1452,23621
"3502",2931,7157
"3503",1588,6714
"3504",1613,6093
"3506",25,57396
"3507",1612,6197
"3510",240,5594
"3511",150,5588
"3514",5601,596
"3515",5603,9261
"3517",2566,5588
"3518",5567,673
"3519",10645,1612
"3521",2890,5588
"3524",5601,6195
"3525",1827,5600
"3527",25,7150
"3529",1051,5600
"3531",207,472
"3532",1025,1457
"3534",1457,4067
"3535",6714,775
"3539",3758,6714
"3540",57118,818
"3544",2561,5588
"3549",5321,5603
"3550",2908,5603
"3552",5600,6195
"3554",2561,5578
"3555",817,9759
"3556",1017,2903
"3557",5584,7153
"3558",5566,8654
"3559",5597,5600
"3561",4842,5582
"3562",10298,10298
"3563",5598,9261
"3565",5321,5598
"3566",10062,1457
"3571",1147,595
"3572",2890,5580
"3576",4790,9641
"3577",1457,3326
"3578",6788,9113
"3581",301,5579
"3582",1022,5127
"3583",302,5580
"3584",1432,5610
"3585",5347,6790
"3587",150,5590
"3589",25,301
"3590",5602,9261
"3591",5581,5734
"3593",6714,983
"3595",5584,9266
"3596",1613,7157
"3597",22858,22858
"3598",2932,4791
"3599",4134,4140
"3600",2099,25
"3602",2743,6714
"3603",4609,5601
"3607",1017,6714
"3608",5608,56924
"3609",367,5578
"3611",1459,7421
"3614",818,8536
"3615",1457,7317
"3617",2011,5590
"3618",5600,9261
"3619",1017,8856
"3621",5579,5894
"3624",5595,7068
"3625",1025,5127
"3627",2475,5563
"3628",5567,9221
"3629",3643,5582
"3630",2260,6197
"3631",208,367
"3635",1051,816
"3636",302,5588
"3638",1459,207
"3639",3105,5566
"3640",2011,4134
"3642",5566,5914
"3643",207,6548
"3644",5465,5597
"3646",5567,5734
"3647",2011,5587
"3648",2099,9261
"3649",5567,7421
"3650",25,558
"3652",5562,6557
"3655",5465,5600
"3656",1019,6714
"3657",3985,5580
"3658",10728,1459
"3660",5581,5600
"3663",6195,6197
"3665",5578,7150
"3666",154,3480
"3668",476,5566
"3670",5328,5578
"3674",3759,5566
"3675",3269,5567
"3677",10014,5563
"3679",3758,5578
"3682",301,5582
"3686",81788,9113
"3687",5243,5578
"3688",4638,5599
"3689",6559,9943
"3691",2561,5581
"3693",5578,7442
"3696",5595,5608
"3697",5566,79054
"3699",150,5579
"3700",1080,1457
"3704",1432,2534
"3706",3932,5603
"3707",5578,5579
"3710",10188,367
"3711",5595,6256
"3712",3551,9641
"3713",5562,5562
"3715",4137,5566
"3717",1022,1457
"3718",1956,5595
"3719",1019,25
"3721",57172,818
"3722",4985,5584
"3723",1051,5601
"3724",5590,5734
"3725",2902,5590
"3727",1080,5579
"3728",2099,5601
"3729",3105,5567
"3730",1432,2260
"3731",1263,6622
"3732",9221,983
"3733",1432,7535
"3734",1457,572
"3736",5602,6256
"3737",1022,2903
"3738",5567,84254
"3743",1956,2950
"3747",2893,5584
"3751",5567,6514
"3753",2064,5578
"3754",5601,5604
"3755",5127,5567
"3757",3690,6850
"3759",5602,5604
"3760",2932,5567
"3761",5347,9261
"3762",8536,9734
"3764",1021,7157
"3765",1051,27
"3767",2560,815
"3771",1956,5111
"3772",5140,5567
"3777",9064,9064
"3778",1080,5567
"3779",7157,9263
"3780",2560,5582
"3782",572,673
"3783",3643,5590
"3784",9113,9891
"3785",1080,5584
"3788",5567,595
"3789",1827,5599
"3791",4609,5602
"3792",57172,8536
"3793",11200,7272
"3801",5566,6915
"3809",5241,5595
"3811",5584,5734
"3816",367,5595
"3817",1019,2099
"3818",332,5566
"3820",5567,8428
"3821",1019,6241
"3822",4988,815
"3826",1017,207
"3827",5058,983
"3828",5566,7157
"3836",2932,5595
"3838",1432,8570
"3839",5566,59341
"3840",2931,6197
"3841",2902,5584
"3842",1017,1460
"3843",4609,5062
"3845",5465,5596
"3847",1017,5594
"3848",1432,5581
"3851",23012,23012
"3853",302,5590
"3855",5465,5603
"3856",6195,6548
"3859",5321,5600
"3863",10499,5595
"3865",1051,1432
"3867",1459,983
"3870",5586,983
"3872",4233,5579
"3874",1017,5058
"3877",25,7272
"3879",595,9149
"3880",8428,8428
"3881",112398,5578
"3882",1459,328
"3886",5604,5606
"3888",4233,5584
"3891",3702,7006
"3892",472,57551
"3894",5566,6256
"3895",4137,6850
"3901",2904,5581
"3903",4842,5584
"3905",4233,4486
"3906",7272,7272
"3907",25,5159
"3908",207,5587
"3909",1021,6714
"3910",3309,3309
"3912",5347,7153
"3913",2064,5566
"3914",2932,5594
"3915",4985,5590
"3916",1025,5058
"3918",5567,6915
"3919",208,4296
"3920",6714,7048
"3923",5588,9266
"3924",2099,5600
"3925",1956,5584
"3926",1827,5594
"3927",2011,51564
"3935",5156,6714
"3936",4214,5058
"3937",5567,572
"3939",1457,2099
"3940",5580,7153
"3946",1459,5601
"3947",5563,5563
"3948",5602,5605
"3949",1022,6714
"3950",5588,572
"3952",2099,9641
"3953",150,5582
"3955",5243,5566
"3957",1195,25
"3959",5601,598
"3960",2890,5582
"3962",3643,5588
"3963",1827,2931
"3967",1017,4137
"3968",1051,817
"3969",5581,572
"3970",302,5582
"3971",1017,25
"3974",5588,7153
"3975",5603,596
"3977",1827,5598
"3978",4140,5590
"3979",5579,5587
"3982",10728,1457
"3984",1019,1022
"3985",225689,225689
"3987",3815,3815
"3988",11184,11184
"3989",472,50484
"3990",1432,1956
"3991",9261,9261
"3992",6195,6195
"3993",2241,2241
"3994",5581,5581
"3996",3551,3551
"3997",1019,4067
"3999",5610,5610
"4000",2260,2260
"4003",1022,7157
"4004",1436,1436
"4005",5604,5604
"4006",7297,7297
"4008",5588,5588
"4009",5747,5747
"4010",5159,5159
"4011",367,6714
"4012",7535,7535
"4013",815,815
"4014",2324,2324
"4016",3643,3643
"4017",2242,2242
"4018",1111,9874
"4019",9113,9113
"4020",2042,2042
"4021",5590,5590
"4022",5170,5170
"4023",7048,7048
"4024",1025,1025
"4025",2264,2264
"4027",11184,4296
"4028",5753,5753
"4029",4486,4486
"4030",4214,5604
"4031",7075,7075
"4032",2932,2932
"4033",558,558
"4034",5562,5564
"4035",5584,572
"4036",84254,8536
"4038",5142,5566
"4039",2268,2268
"4041",207,207
"4043",5578,5581
"4044",23604,23604
"4048",4609,5594
"4049",6850,6850
"4050",3717,3717
"4051",5062,5062
"4052",3654,3654
"4053",5587,5587
"4054",5596,5596
"4055",3718,3718
"4056",1859,1859
"4057",5062,5894
"4060",5605,673
"4061",5601,9479
"4062",2185,2185
"4063",4914,4914
"4064",5293,5293
"4065",2048,2048
"4066",4842,5578
"4067",91754,91754
"4068",3619,983
"4069",19,5566
"4071",3932,5578
"4074",4751,4751
"4075",27,2876
"4076",6790,6790
"4077",6788,6788
"4078",5610,983
"4079",5593,5805
"4080",120892,120892
"4081",7525,7525
"4082",5294,5294
"4083",5566,783
"4085",23012,8428
"4087",4792,9641
"4088",2890,5578
"4089",1017,1017
"4090",2475,5562
"4092",3055,3055
"4093",1613,1613
"4094",415116,572
"4095",1022,1022
"4096",8573,8573
"4098",11329,11329
"4099",7010,7010
"4101",5597,5597
"4102",3702,3702
"4103",4233,4233
"4104",5578,5578
"4105",5260,5260
"4106",2066,2066
"4107",4915,4915
"4108",5578,9266
"4109",5979,5979
"4110",5585,5585
"4111",10014,5585
"4113",2322,2322
"4115",5608,5608
"4116",10461,10461
"4117",1454,1454
"4119",2263,2263
"4120",9212,9212
"4121",25,25
"4122",5595,673
"4123",472,472
"4124",2043,2043
"4125",5600,8550
"4126",3985,6093
"4127",4214,4214
"4128",5594,9261
"4129",27347,27347
"4131",207,8570
"4132",2321,2321
"4134",3932,3932
"4135",8576,8576
"4136",5595,5595
"4138",5058,5058
"4139",57144,57144
"4141",4296,4296
"4143",8536,8536
"4144",2046,2046
"4145",5894,5894
"4146",818,818
"4149",2011,5584
"4152",10013,1956
"4154",1457,1457
"4155",5058,5347
"4156",6558,9943
"4157",5562,5563
"4158",1956,983
"4159",3791,3791
"4160",57118,84254
"4163",238,238
"4164",7294,7294
"4165",2011,2011
"4166",9641,9641
"4168",2932,5578
"4169",27347,6558
"4170",596,983
"4171",9149,9149
"4172",5156,5156
"4173",5591,5591
"4178",4843,4843
"4179",6240,6241
"4186",5566,596
"4187",3718,3932
"4189",2908,7157
"4197",207,2100
"4203",213,5004
"4207",11188,367
"4211",3480,3643
"4212",1432,2872
"4217",328,7157
"4226",5159,5290
"4228",2149,3685
"4234",2324,3678
"4235",2902,2904
"4241",4067,5141
"4242",1728,7157
"4245",3320,367
"4250",3351,3352
"4252",5594,8600
"4253",5594,6340
"4258",10499,6256
"4263",3066,83933
"4265",207,3551
"4268",2534,5747
"4271",3708,3710
"4272",2892,4067
"4275",2908,811
"4276",5610,836
"4283",3486,4312
"4284",10062,6256
"4296",1956,5604
"4300",815,816
"4301",207,5588
"4302",2185,2263
"4303",3082,5328
"4304",1147,5584
"4305",2185,2321
"4306",10988,5610
"4313",1019,658
"4317",2100,801
"4320",4140,5588
"4327",10188,2534
"4328",5111,5423
"4331",332,836
"4338",207,3326
"4341",3717,5747
"4343",1051,4790
"4346",596,9088
"4347",3759,3767
"4353",5054,5328
"4357",4216,5604
"4364",1460,2246
"4365",6195,8013
"4367",1445,225689
"4368",5894,6915
"4370",4843,5879
"4376",3690,5159
"4380",6532,811
"4388",154,155
"4391",1459,7184
"4393",203068,4137
"4399",1956,367
"4402",2050,2902
"4409",1268,3061
"4411",2043,2261
"4412",2906,6197
"4413",4486,7525
"4414",1003,1445
"4421",142,5591
"4424",1234,2185
"4425",2908,5566
"4431",185,3717
"4432",2185,3717
"4435",3320,5894
"4439",2534,59341
"4441",2064,3678
"4444",1234,3716
"4445",59341,7525
"4446",3065,7155
"4450",1445,3055
"4453",148,3577
"4455",3320,5465
"4456",5170,5579
"4460",1021,7046
"4465",5062,5595
"4466",90,91
"4469",5586,836
