"","Pubchem.Compound.ID","entrezID"
"1401",2381,1128
"1402",2381,1135
"1403",2396,5292
"1404",2396,5170
"1405",2396,5584
"1437",2449,6915
"1438",2466,5742
"1439",2466,5743
"1440",2466,10013
"1441",2466,83933
"1442",2471,6557
"1443",2471,6558
"1444",2471,6560
"1445",2471,57468
"1446",2471,1080
"1545",2519,134
"1546",2519,5142
"1547",2519,6261
"1548",2519,135
"1549",2519,5136
"1550",2519,5153
"1551",2519,5137
"1552",2519,10846
"1553",2519,5141
"1554",2519,5142
"1555",2519,5143
"1556",2519,5144
"1557",2519,27115
"1558",2519,5138
"1559",2519,5139
"1560",2519,5140
"1561",2519,8654
"1562",2519,5146
"1563",2519,50940
"1564",2519,5150
"1565",2519,5151
"1566",2519,8622
"1567",2519,5152
"1568",2519,5145
"1569",2519,5158
"1570",2519,5591
"1571",2519,5293
"1572",2519,5290
"1573",2519,5291
"1574",2519,3708
"1575",2519,3709
"1576",2519,3710
"1577",2519,472
"1578",2519,136
"1579",2519,140
"1580",2519,5153
"1581",2519,5144
"1582",2519,5140
"1583",2519,8654
"1584",2520,775
"1585",2520,774
"1586",2520,773
"1587",2520,3767
"1588",2520,8913
"1589",2520,8912
"1590",2520,3757
"1591",2520,6532
"1592",2520,148
"1593",2520,147
"1594",2520,146
"1630",2578,2936
"1655",2662,5743
"1656",2662,5170
"1657",2662,760
"1658",2662,761
"1659",2662,1009
"1687",2717,706
"1688",2719,2939
"1689",2719,7124
"1690",2719,54106
"1692",2720,759
"1693",2720,760
"1694",2720,6559
"1735",2749,476
"1737",2754,5139
"1758",2764,7153
"1759",2764,3757
"1785",2787,5465
"1786",2787,5468
"1787",2787,5467
"1807",2796,5465
"1874",2812,3783
"1875",2812,8856
"1876",2812,338442
"1877",2818,1813
"1878",2818,3356
"1879",2818,1812
"1880",2818,1814
"1881",2818,1815
"1882",2818,3350
"1883",2818,3351
"1884",2818,3352
"1885",2818,3354
"1886",2818,3359
"1887",2818,3358
"1888",2818,3363
"1889",2818,3362
"1890",2818,3269
"1891",2818,59340
"1892",2818,148
"1893",2818,147
"1894",2818,150
"1895",2818,151
"1896",2818,152
"1897",2818,1128
"1898",2818,1129
"1899",2818,1131
"1900",2818,1132
"1901",2818,1133
"1902",2818,50632
"1903",2818,2950
"1923",2907,8856
"2046",3038,759
"2047",3038,760
"2048",3038,762
"2049",3038,766
"2050",3038,761
"2074",3100,3269
"2075",3100,1129
"2085",3108,8654
"2086",3108,10846
"2087",3108,5141
"2088",3108,100
"2089",3108,1827
"2090",3108,5004
"2099",3117,217
"2100",3117,1621
"2123",3151,1813
"2124",3151,1814
"2154",3182,5142
"2155",3182,5141
"2156",3182,5143
"2157",3182,5144
"2158",3182,134
"2159",3182,135
"2160",3182,5150
"2161",3182,27115
"2168",3220,1457
"2171",3220,196
"2245",3291,8913
"2277",3331,2904
"2278",3331,116443
"2279",3331,2903
"2298",3339,5465
"2299",3339,64386
"2300",3339,8856
"2301",3341,1812
"2302",3341,1816
"2303",3341,150
"2304",3341,152
"2305",3341,151
"2306",3341,147
"2307",3341,146
"2308",3341,148
"2331",3366,1786
"2361",3373,2554
"2362",3373,2566
"2363",3373,2558
"2364",3373,2554
"2365",3373,2555
"2366",3373,2556
"2367",3373,2557
"2368",3373,2558
"2369",3373,2559
"2370",3373,2560
"2371",3373,2561
"2372",3373,2562
